"idx","lidar_tiles","lidar_years","lidar_year_max"
1,0,"",NA
2,0,"",NA
3,0,"",NA
4,0,"",NA
5,0,"",NA
6,0,"",NA
7,0,"",NA
8,0,"",NA
9,0,"",NA
10,0,"",NA
11,0,"",NA
12,0,"",NA
13,0,"",NA
14,0,"",NA
15,0,"",NA
16,0,"",NA
17,0,"",NA
18,0,"",NA
19,0,"",NA
20,0,"",NA
21,0,"",NA
22,0,"",NA
23,0,"",NA
24,0,"",NA
25,0,"",NA
26,0,"",NA
27,0,"",NA
28,0,"",NA
29,0,"",NA
30,0,"",NA
31,0,"",NA
32,0,"",NA
33,0,"",NA
34,0,"",NA
35,0,"",NA
36,0,"",NA
37,0,"",NA
38,0,"",NA
39,0,"",NA
40,0,"",NA
41,0,"",NA
42,0,"",NA
43,0,"",NA
44,0,"",NA
45,0,"",NA
46,0,"",NA
47,0,"",NA
48,0,"",NA
49,0,"",NA
50,0,"",NA
51,0,"",NA
52,0,"",NA
53,0,"",NA
54,0,"",NA
55,0,"",NA
56,0,"",NA
57,0,"",NA
58,0,"",NA
59,0,"",NA
60,0,"",NA
61,0,"",NA
62,0,"",NA
63,0,"",NA
64,0,"",NA
65,0,"",NA
66,0,"",NA
67,0,"",NA
68,0,"",NA
69,0,"",NA
70,0,"",NA
71,0,"",NA
72,0,"",NA
73,0,"",NA
74,0,"",NA
75,0,"",NA
76,0,"",NA
77,0,"",NA
78,0,"",NA
79,0,"",NA
80,0,"",NA
81,0,"",NA
82,0,"",NA
83,0,"",NA
84,0,"",NA
85,0,"",NA
86,0,"",NA
87,0,"",NA
88,0,"",NA
89,0,"",NA
90,0,"",NA
91,0,"",NA
92,0,"",NA
93,0,"",NA
94,0,"",NA
95,0,"",NA
96,0,"",NA
97,0,"",NA
98,0,"",NA
99,0,"",NA
100,0,"",NA
101,0,"",NA
102,0,"",NA
103,0,"",NA
104,0,"",NA
105,0,"",NA
106,0,"",NA
107,0,"",NA
108,0,"",NA
109,0,"",NA
110,0,"",NA
111,0,"",NA
112,0,"",NA
113,0,"",NA
114,0,"",NA
115,0,"",NA
116,0,"",NA
117,0,"",NA
118,0,"",NA
119,0,"",NA
120,0,"",NA
121,0,"",NA
122,0,"",NA
123,0,"",NA
124,0,"",NA
125,0,"",NA
126,0,"",NA
127,0,"",NA
128,0,"",NA
129,0,"",NA
130,0,"",NA
131,0,"",NA
132,0,"",NA
133,0,"",NA
134,0,"",NA
135,0,"",NA
136,0,"",NA
137,0,"",NA
138,0,"",NA
139,0,"",NA
140,0,"",NA
141,0,"",NA
142,0,"",NA
143,0,"",NA
144,0,"",NA
145,0,"",NA
146,0,"",NA
147,0,"",NA
148,0,"",NA
149,0,"",NA
150,0,"",NA
151,0,"",NA
152,0,"",NA
153,0,"",NA
154,0,"",NA
155,0,"",NA
156,0,"",NA
157,0,"",NA
158,0,"",NA
159,0,"",NA
160,0,"",NA
161,0,"",NA
162,0,"",NA
163,0,"",NA
164,0,"",NA
165,0,"",NA
166,0,"",NA
167,0,"",NA
168,0,"",NA
169,0,"",NA
170,0,"",NA
171,0,"",NA
172,0,"",NA
173,0,"",NA
174,0,"",NA
175,0,"",NA
176,0,"",NA
177,0,"",NA
178,0,"",NA
179,0,"",NA
180,0,"",NA
181,0,"",NA
182,0,"",NA
183,0,"",NA
184,0,"",NA
185,0,"",NA
186,0,"",NA
187,0,"",NA
188,0,"",NA
189,0,"",NA
190,0,"",NA
191,0,"",NA
192,0,"",NA
193,0,"",NA
194,0,"",NA
195,0,"",NA
196,0,"",NA
197,0,"",NA
198,0,"",NA
199,0,"",NA
200,0,"",NA
201,0,"",NA
202,0,"",NA
203,0,"",NA
204,0,"",NA
205,0,"",NA
206,0,"",NA
207,0,"",NA
208,0,"",NA
209,0,"",NA
210,0,"",NA
211,0,"",NA
212,0,"",NA
213,0,"",NA
214,0,"",NA
215,0,"",NA
216,0,"",NA
217,0,"",NA
218,0,"",NA
219,0,"",NA
220,0,"",NA
221,0,"",NA
222,0,"",NA
223,0,"",NA
