"VV_flat","VV_sigma0","alpha_r_deg","poly_id","slope_deg"
-8.22727737665082,-9.71785199743325,-1.60053891536124,"P001",12.5454982996548
-9.09301491638149,-13.8274101004939,-20.4236979279872,"P002",31.1114067512001
-8.09000186351498,-10.8571200384064,-11.7701431897399,"P003",19.6045845768282
-6.77288597076625,-6.30887329589275,3.69509745692456,"P004",32.5659715476541
-7.2879411071939,-9.6497342567053,-7.93980042631338,"P005",24.8550284236679
-7.15048474165231,-8.54440834458213,-1.74740507793033,"P006",16.1099687675095
-8.86198649709011,-2.15125309474727,27.4054725338692,"P007",31.3001510989327
-11.159848711109,-14.4899372027206,-13.5395078854543,"P008",34.9464478568939
-9.93476407155424,-2.13097772618514,30.2681296645611,"P009",32.1925752848729
-7.92498525936053,-8.03744519829781,5.42480230169683,"P010",17.9916428777533
-8.2554999133082,-10.6324792697572,-8.73008930470155,"P011",12.8002448937171
-9.01854888971618,-9.32934221408526,4.87867594701139,"P012",18.827724218243
-8.70178927490064,-4.13649479917585,21.0559466697063,"P013",23.7893577201713
-7.924775460186,-10.3390586587794,-8.89819391655753,"P014",13.6631588665425
-6.87476870339211,-6.29729525884972,9.43722323493429,"P015",23.5394995558164
-7.30030987633255,-8.52545617324575,-0.967765502057126,"P016",11.7624629203602
-7.24643611499666,-7.66236409845609,2.66881886750587,"P017",12.2330399866941
-8.05172894989352,-8.89420780131324,1.2830385255205,"P018",19.3485141596132
-8.64336861051185,-9.39463129032505,2.43241775669679,"P019",20.5747747810806
-8.71366937947312,-13.5875301667387,-19.3486795805397,"P020",22.586436224172
-8.71651430320218,-9.1020622320611,4.39516423836556,"P021",15.014118251492
-7.73843212185434,-7.96548785416945,3.87205652596197,"P022",21.2822127332282
-10.1014445201481,-8.92647306561657,9.87165946502995,"P023",18.1668419799856
-9.18629187253829,-10.4583954091666,-1.68926628069041,"P024",20.695981022593
-9.44077214895429,-13.0412518793741,-13.1079696405647,"P025",23.7089237563784
-6.25892328332982,-13.9785018491236,-32.1899043421575,"P026",42.3158664808374
-7.0652042201773,-7.13580756987999,6.77035105111167,"P027",14.8773325634152
-7.85734423818015,-10.1452362020506,-6.31372275232021,"P028",18.0749586424602
-8.6039684795123,-10.2956969030273,-2.91644047950872,"P029",11.6408264840677
-7.62508665975797,-8.89281734402626,-0.665783110887529,"P030",8.6463359413307
-7.97221398139564,-8.86774620812731,0.977511601260484,"P031",9.91239725524183
-8.49243188274533,-11.4357970006398,-10.1222046305369,"P032",15.1433224351621
-8.0743169248848,-8.80885038314341,2.54027945555664,"P033",10.0144781446303
-8.41080611439393,-9.97675989680831,-2.38036401535711,"P034",11.5531902717765
-7.72388438933709,-8.40938344040247,3.29767050319878,"P035",15.4951343595157
-9.80670319225666,-4.03883789632082,26.4044955767712,"P036",34.4730591234302
-7.2464957813488,-8.59796691060634,-1.260108463684,"P037",13.0887366296925
-7.88376994748429,-10.4245393182213,-8.09860641558767,"P038",18.4661326410274
-7.8271606101221,-9.58479250443082,-3.61383892217377,"P039",15.7597285180479
-8.36732457325728,-11.924066373304,-13.6217208602454,"P040",24.9735726964683
-8.13260609709797,-9.19918506390332,0.419668197752785,"P041",14.3649414263345
-9.04798474350909,-6.96727373239921,13.500339295156,"P042",25.6592838997701
-9.34918627379172,-10.0135137537836,0.651405582068883,"P043",26.3716345442725
-8.31500368504206,-12.1387093657005,-15.6419034672037,"P044",20.2964946450572
-7.02261105299182,-5.22980568456245,13.3679309126671,"P045",24.7499290834847
-7.38934055764226,-6.64194510860766,11.1570956359873,"P046",14.8468067039233
-8.86742098094192,-15.4791585634448,-28.1913558840197,"P047",30.2433780947921
-7.71557756050475,-9.75888928124898,-5.30395160270915,"P048",16.0209640313252
-9.13297121931352,-14.1840747842872,-20.1114402621024,"P049",26.0358130671477
-9.11394449554664,-11.9854112074329,-9.95454493582319,"P050",16.7417931029523
-7.76041786807192,-9.2304555949884,-1.96590826569193,"P051",11.3650865221397
-8.16430199081351,-11.9744838738746,-16.0775399732569,"P052",19.7066087973271
-9.90811647375412,-9.6267100365286,7.4381053225749,"P053",33.2980161596738
-9.96275347361625,-8.24435231364882,14.8808236791103,"P054",35.5630838868927
-10.2704070503748,-9.22067042003288,10.146416385699,"P055",36.6694887241245
-9.98866316846413,-7.87665295811544,12.1316237111825,"P056",35.9211497889167
-8.28081242733464,-12.3457406197899,-18.2399081579938,"P057",21.7537736396508
-9.99047986391015,-8.97817083503572,9.46959670801322,"P058",33.7858781174748
-8.9364444470497,-3.37542790132165,26.4351878344507,"P059",35.6510522983826
-9.31571316523369,-7.83202532813126,10.8802186023302,"P060",29.7489766202698
-8.15140350936092,-14.1852174763137,-28.1887820780378,"P061",29.5215705583944
-8.62868776227883,-10.4756413339739,-6.18860875711736,"P062",16.860972067604
-8.30212581609324,-9.12647962882154,1.50176245126469,"P063",18.3436187639955
-7.7948925542246,-8.44445613259789,2.00651773678261,"P064",6.53062456931393
-9.1375332424753,-13.2178183270713,-15.6468248690231,"P065",23.0587330314849
-7.79488717733474,-8.80030547773977,1.24111319301398,"P066",9.63976166117219
-7.87821433423266,-9.93286240186078,-6.68526996749287,"P067",13.81450915767
-7.39862617127671,-8.53577915140147,-0.174162927176999,"P068",11.2017168351107
-6.98098164120876,-8.34475269672438,-1.49542810611795,"P069",9.20188946080922
-6.62753818010326,-7.91623249936189,-1.20309937867255,"P070",17.5374798790175
-7.41631620877977,-5.44917248592825,13.1868441012268,"P071",18.0149678264621
-7.56706623575734,-8.9294473810065,-3.24383089135115,"P072",13.1065937897124
-7.50611212328203,-7.95143332429885,2.2420135892465,"P073",8.24982120959681
-7.84777301715241,-9.7147463767718,-6.14735496939866,"P074",10.8438368662928
-7.08887262521875,-6.97655764574542,6.25231860957476,"P075",20.9268321840889
-7.66004457288561,-9.87900433254992,-5.71618577883472,"P076",18.522552910595
-8.40326238581773,-8.17640280351803,7.81926170936452,"P077",20.1000564418583
-9.57575034550011,-8.49793941835233,12.1074431655246,"P078",31.785953438322
-7.68700890904124,-10.2217767217829,-7.79979300059832,"P079",14.5964651127592
-7.48464571771757,-8.57464841011155,0.301417173974637,"P080",3.23626141510374
-5.82152722548898,-4.42825999191663,8.98405836135688,"P081",23.7224463205363
-8.14178423082767,-9.64226211404572,-3.06392030619548,"P082",14.660395806293
-8.67032085840959,-7.95473735608405,8.26802901407897,"P083",21.7065514712706
-6.47299769367817,-6.68528216175079,3.43925668094922,"P084",12.6489756148124
